Name	Ctf
Dresser-Single	30
tote	2
Freezer - 16 or over	58
Trampoline	14
Trunk	8
Dog Crate	5
Baby Carriage Stroller	3
Chair - Plastic	1
Stereo - Console	13
High Chair	4
Bike Rack	6
Exercise Equipment - Eliptical	15
Clothes Rack	2
Bed Headboard	5
Sled	2
Saw Horse	4
Bed - Daybed	30
Keyboard - Large	10
Chair Outside	2
Coat Rack	2
Taxidermy	34
Lamp - Floor / Pole	4
Desk - Chair	8
Tote -Plastic small	2
Air Purifier	4
Tire	3
Ottoman	3
Chair - Kitchen	3
DESK CHAIR	5
Wood	5
TV - 60 & Over	59
Table - Card	4
Rubbermaid Cabinet	9
Table-Outdoor	17
Tote - Small	2
Wardrobe - Small	21
Rug	8
Garden Ornaments	1
Canopy	6
Laundry Basket	2
Small Table	1
Server	15
Snowboard	4
Bed - Footboard	5
bin, plastic	4
Bookcase - Medium	9
Rug-Small	3
Motorcycle - Dirtbike Sport	53
Chair - Straight	2
Tent	5
Lawn Spreader	4
Exercise Equipment - Bench	18
Christmas tree	9
Power Tool - Large	32
Range	30
Chair - Dining	5
Credenza	20
Saw Horses	3
stand	5
Nothing else in room goes	0
Hall Tree Rack - Small	2
Bed Frames	4
Chiminea	8
PC Desk - Large	28
Empty Per Client	0
Shelving	7
Pot - Plastic	2
Chair - Aluminum / Plastic	1
Fountain	8
Generator	17
Bookcases-Small	2
Air Cond Window - Large	19
Scooter	8
Storage Tote	3
Picnic - Table	20
Gate	2
3.0'Ctn- Not Going	0
Serving Cart	9
Plastic Drawers	4
Misc.	7
Hutch	28
Planter	6
cart	5
Misc 15 cu	14
Workbench - Small	10
Chairs-folding	1
headboard	18
Cabinet - Small	8
Patio Chair	4
Wine Chiller	13
Bed Footboard	5
Statues	12
Hall Tree Rack - Large	12
Dresser - Mirror	9
Duffel Bag	3
bed frame	6
Chair - Swivel	4
Yard Tools	8
Tea Cart	9
Rest Not Going	0
CHAIRS,FOLDING	1
Chair-Folding	1
Duffle Bag	5
Misc Item	23
Big Screen TV	9
Ladder	5
Drill Press	15
4.5 Ctn- Not Going	0
Printer	3
stroller	4
Quilt Rack	3
CD Rack	2
Dresser-Mirror	7
Keyboard Stand	6
Picnic - Bench	9
Mider Saw	7
Cabinet - China	32
Umbrella Base	10
Cat Hotel	3
Whicker Chairs	2
Surfboard	5
Pressure Washer	14
End Table	4
Saw	9
shoe shelf	2
Smoker	9
Grinder	5
Steamer	3
Nesting Tables	5
Floor Jack	8
Walker	1
Desk - Small	9
Fan - Large	5
range/oven	25
Bed - Youth Plastic Toy	25
Pictures	0
Playpen	5
Air Conditioner	9
wagon	5
PBO - TOTE (SMALL)	3
STAND	4
COOLER	1
easel	2
desk chair	5
Desk chair	5
Umbrella Stand	4
Magazine Rack	2
Guitar	2
Doll House	6
Plastic Bins Large	3
BIKE	3
TV trays	2
Hammock	7
KAYAK 14' & Under	6
PBO Not Moving 3.0	0
Chandeliers	21
PBO Not Moving. 4.5	0
Shoe rack	2
Patio Table	10
SHOE RACK	1
Garden Tools	7
Piano - Parlor Grand	78
Table-Leaf	2
Table - Folding	3
Toy Chest	6
Chair - High	4
Folding Chair	1
Rocking Horse	4
Table - Sofa	9
folding tables	4
Steam Cleaner	5
work mate	6
Welder	7
Chair, Folding	1
Bed - King / Queen	49
TV - Flat Panel - Large	10
Bed Frame Small	7
Butcher Block	14
Raton Chair	2
Fishing Rods	1
Telescope	4
Buffet	28
shoe rack	4
Rug - Medium	5
Rug/Round	6
Matts	4
Cabinet-Utility	19
Speaker	7
Amp	7
Ramp	4
futon	18
Tote-Meduim	5
Chaise Lounge - Metal - Wood	15
Garden Hose & Tool	2
Chest - Bachelor	11
STG BINS	4
screen	8
Heavy Duty Carton	5
Table - Patio	12
Bookcase - Large	23
Dog Bed	2
Golf Cart	70
folding table	3
Guns in a Case	4
Table-Kitchenette	10
Bed - Frame	6
Step Stool	1
tent	4
Armor Pk TV Crtn.	0
desk	13
tote small	3
Plastic drawers	4
Treadmill	28
Rubbermaid cabinet	10
Saddle	7
Bike Kids	5
mirror	10
Table - Coffee (Large)	10
PBO - TOTE (MED/LGE)	6
Tote - Extra Large	15
Flag Pole	2
magazine Rack	1
Chair - Desk	6
PRINTER	4
1.5 Ctn- Not Going	0
Headboard	9
Golf Clubs	7
Water Cooler	7
Chair Folding	1
Wicker Basket	2
PBO - 3.0 (MEDIUM)	3
Desk w/ Return	35
Table - Medium	10
Golf - Clubs / Bag	3
scooter	5
Cabinet - Supply	26
Toy - Chest	5
Safe - small	10
Matt	5
Shelves	4
Plastic Shelf	7
Appliances - Counter Top	2
generator	19
Barbells - Enter Weight	16
Bed - Mattress	13
Ladder - 3 Step	3
Cabinet - Kitchen	27
Scooters	4
Coolers	2
Chair-Dining	4
Sandbox	8
Lawn Mower - Push	15
Ski	2
Music Cabinet	11
Tool Box	4
Coat Rack - Small	2
nothing goes	0
Door	9
Easle	2
computer desk	13
Deck Box	12
lamp ctn	5
coat rack	7
Hutch - Small	10
Wine Rack	6
Raton Sofa	3
Wreath Box	2
Garden Hose	4
shelf-book on wall	2
Organ - Small	21
Cat Condo	7
Chair - Patio	5
Bird Cage	5
BENCH	8
Shelves - Plastic	4
JACUZZI: 65' & OVER	76
Rug - Small	1
yard art	6
quads	35
trampoline	18
Jack	7
Toolchest	43
SOFA 2 CUSHION	34
BBQ Grill - NO TANK	11
Bed - Single	31
Bicycle - Child	3
shoe racks	6
Rod	3
STROLLER	3
TV-Tray	1
Grandfather Clock	12
Weed Eater	4
Chair - Aluminum	1
plastic cabinet	2
Closet Items	0
Bookshelf, Small	5
Childs gate	2
TRASH CAN	1
garage cabinets	15
Candle Sticks	4
Rolling Cart	10
bed-headboard	10
Pedestal	5
Cabinet - Gun	16
Punching Bag	10
clothes rack	3
bench	7
TV - Stand - Large	10
MONITOR	2
Washing Machine w/ Peds	35
Bins - Plastic	6
shelving	5
Crutches	1
bags	4
Chair folding	2
Bike	5
Footboard	8
Dryer, Electric	25
Mower - Lawn (NO GAS)	10
Table - Drop / Sofa	10
Tote ctn	5
Basketball Goal	23
Sideboard	27
Air Bed	3
Rug - Large	9
Large cabinet	25
wood	11
Washer, Top Load	24
Ramps	4
Dresser - Vanity	18
Dryer - On Pedestal	35
Front Load Washer	34
Toolbox	3
Broom/Mop	2
Table- Folding	5
PBO's	4
Basketball Hoop	17
Murphy Bed	32
Tripod	1
PBO Not Moving. 1.5	0
CLOTHES HAMPER	1
Bag	3
Appliances - ALL	0
Picnic Cooler	2
.APPLIANCES STAY (MAJOR)	0
camping gear	6
Pack and Play	2
Bird Feeder	8
LAMPS	0
nothing else goes	1
Racks	2
bed-footboard	10
computer	5
Workmate	5
Table - Bedside / Night	5
Scale	3
Armoir	28
Chair - Child	1
TOTE - Small	2
Antique Sewing Machine	10
Drum	5
Metal Shelf	15
EASEL	3
Fish Tank	15
Tackle Box	1
Baskets	2
Amps	9
Plastic Bin Medium	3
Tote - Medium Packed	4
Sawhorse	3
trash can	2
Ladder - Step	3
Waste Basket	1
saw horse	3
Coat Tree	2
.FURNITURE - UPHOLSTERY	0
Chair - Porch	2
Bookshelf, Medium	9
Table - Changing	12
wall unit	30
Misc 25 cu	24
Sled / Skis	2
Shelving Unit - Plastic	4
COMPUTER EQUIPMENT	4
Massage Table	10
mats	4
Washing Machine Front Load	27
Dog crate	7
Basket - Laundry	1
Plastic Toys Medium	3
Plastic Container	7
PBO - 1.5 (SMALL)	2
.IMPORTANT NOTE	0
Bench - Weight	5
cabinet, small	7
Handtruck	7
doll house	11
Sports gear	4
.PACKING - FULL	0
saw horses	4
sporting goods	5
Bed -- Frame	4
grandfather clock	30
Car Top	8
Pbo Carton	5
Table-Folding	5
playpen	4
Amplifier	5
Divider	6
Bean Bag	7
tub/basket	1
miscl	11
Footlocker	7
bike rack	4
Drying Rack	2
Baby Gate	2
.FLOORS - HARD WOOD	0
Chair - Recliner	19
printer	3
Chair - Outdoor	5
Bowling Ball/Bag	2
Sofa - Leather	40
Shelving Unit - Metal	4
Lamp floor	3
Misc 20 cu	20
Electronics	2
Amphs	4
Whicker Sofa	13
Chairs-Plastic	1
amplifier	6
CAT TREE	4
Mattress	17
Dresser - Normal	25
Cat Post	5
Sofa-Hide	56
flat screen LCD t.v.	20
dog cage	4
.FLOORS - CARPET	0
Table - Small outdoor	2
Hydraulic Jack	5
Shelf, Plastic	4
compresser	10
TV - Flat Panel - Small/Medium	5
Chandelier	7
TV TRAYS	5
Bicycle-Kids	3
chest	9
dog bed	4
Crate	11
Xmas decoration	3
dog crate	5
ski	2
chest of drawers	24
.ORIGIN - HOME	0
Lathe	28
SPORTS BAG	1
Front Load Dryer	30
Miscellaneous	15
Piano - Upright	70
Dog House	8
Cabinet - Medium	11
Box	4
BBQ	12
COAT TREE	5
Kitchen Cabinet	30
Wire Bin	2
Flat TV	11
shelf, plastic	4
.FLAT SCREEN TV - > 40" CP	0
Heater	3
BOXES	3
Table Leaf	3
PC TOWER	7
Arcade Game	46
.FURNITURE - LEATHER	0
chair, folding	2
Shelving Unit	9
Luggage Rack	3
Tile Saw	3
Globe Table	4
Hose	5
Shelf Plastic	3
Drafting Table	19
Table - Leaf	3
Gas Can	2
TV Wall Mount	4
weed eater	2
Mops & Brooms	2
Bar Chair - tall	5
Misc. Garage Items	2
Stroller Folding Meduim	2
Table Folding	3
.ORIGIN - VAN ACCESSIBLE	0
Wicker	5
Bed frame	10
Dresser Normal	25
Pet carrier cage	10
credenza	28
camping supplies	10
Plastic Tote	4
Headboard/Footboard	8
Craddle	7
chiminea	11
standing mirror	9
Book Box	0
CART	4
Chair-Plastic	1
Water cooler	6
Barrel	5
shredder	4
Misc 50 cu	51
t.v. table	10
hand tools	4
